product_name,overview,image_path,description,product_category
Chicken wings (450g),"Chicken wings have become ubiquitous with sports and drinking culture, but they're well-worth your time (and appetite) on any occasion. They're simple, easy to cook, full of protein, budget-friendly and a fun, hearty finger food for parties and weeknight dinners alike. Try them baked, fried, smoked, grilled or made into soup. No matter how you eat chicken wings, they're a versatile, delicious ingredient worth learning more about.There are three types of wings you'll find at the market: the whole wing, the flat, and the drumette (the latter being the part that looks like a mini-drumstick). When you see these two parts together, it's easy to imagine the wing of a bird. Before the wing is broken apart, the drumette comes attached to the breast. Chicken wings also have a wing tip, but those aren't often included in sectioned-off bits of the cut .Decide how you want your wings before you prep. For a dry rub, make sure the meat has been dried with paper towels first to allow the mix to adhere to the skin. Wings can also be marinated or brined before cooking to seal in moisture and flavor. Fried wings have a huge following, and cooking them in a deep-fryer is an easy way to get the job done. Roasting or baking in the oven is a simple way to cook them (roast on top of a baking rack for crisper skin), and for extra flavor, chicken wings can be smoked or grilled. Since wings have plenty of bone, connective tissue and fat, they make excellent soup and stock. The cooked wings can be removed from the soup, stripped of their meat and made into chicken salad.",https://farmersfreshmeat.com/wp-content/uploads/2019/02/Chicken-Wings-1b-scaled.jpg,Meat - Chicken,10
Chicken breast (450g),"The chicken breast is a lean cut of meat taken from the pectoral muscle on the underside of the chicken. Each whole chicken contains one chicken breast with two halves, which are typically separated during the butchering process and sold as individual breasts. Given its desirable white meat and health benefits, boneless chicken breast meat is the most expensive cut of chicken in comparison to chicken thighs, wings, and drumsticks. This versatile cut can be grilled, baked, roasted, fried, barbecued, and boiled in countless ways. No matter the cooking method, chicken should always be handled with care, and the areas, utensils, and hands that have been in contact with the raw chicken should be washed thoroughly with soap and hot water to prevent food safety risks.",https://thumbs.dreamstime.com/b/raw-chicken-fillet-white-background-chicken-breast-isolated-clipping-path-raw-chicken-fillet-white-background-chicken-125495894.jpg,Meat - Chicken,10
Chicken drumsticks (450g),"The drumstick is the lower, meaty leg portion of the bird, such as a chicken, turkey or duck, which exists from the knee joint down to almost the foot. The drumstick is different from the drummette, which is the part of the bird's wing existing between the shoulder joint and the elbow joint. The drumstick is almost always sold as a bone-in piece of meat for roasting, stewing, grilling, or baking. The drumstick is a part of the leg of the bird, which consists of the drumstick and the thigh. Meat on the drumstick will always be referred to as dark meat, since the appearance is dark tan to clay in color.",https://www.pngitem.com/pimgs/m/243-2431425_chicken-drumstick-legs-png-png-download-raw-chicken.png,Meat - Chicken,10
Chicken carcass (450g),"Chicken carcass is basically the bones of a chicken. Though they do not contain much meat to it, they are still a good source of nutrition as it has various amino acids, minerals, and collagen.It's good for boiled to be used for soup/broth",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRPCZeJBe65Qnw2tujsh_D4CXtGtPa_cGknKYpUoQj23ZpGXZw-6LqYOhGffV0QwpIGCc0&usqp=CAU.png,Meat - Chicken,10
Chicken feet(450g),"Chicken feet consist of skin, cartilage, tendons, and bones. Even without providing much meat, they're high in collagen — the most abundant protein in your body. This collagen content may help relieve joint pain, aid skin health, and prevent bone loss. Chicken feet often cook with ginger, sugar, green onions, soy sauce, and so on.",https://thumbs.dreamstime.com/b/raw-chicken-feet-isolated-white-background-raw-chicken-feet-116989078.jpg,Meat - Chicken,10
Potato (200g),"Potato is a botanically vegetable. Potatoes, also know as aloo or batata, are a key source of carbohydrates and is one of the most heavily used vegetable in Indian cooking. It is one of the most comfortable food item, which is highly used in various different ways such as mashed, boiled, chopped, cubed, grated, sliced, peeled, chunks, pieces, baked and roasted. Potatoes are a good source of Vitamin B6, C, Deitary Fiber, Potassium, Magnesium and Antioxidants.",https://www.macmillandictionary.com/external/slideshow/full/141151_full.jpg,Botanically vegetable,8
Tomato (200g),"Tomato is a supplement thick superfood that offers advantage to a scope of real systems.It has numerous little seeds. It is extremely scrumptious. It is likewise useful for wellbeing. Most tomatoes are red. They are a good source of Vitamin A, C, K, Iron, Folate and Potassium. They are used in salads, eggs, curries, soups and other dishes.",https://cdn.shopify.com/s/files/1/0244/4961/3905/products/tomato@2x.jpg?v=1576807420,Tomatoes are fruits that are considered vegetables by nutritionists,8
Onion (200g),"Onion is a common vegetable used in virtually every type of cuisine and cooking in the world. Onions can fill your kitchen with a thick spicy aroma. They are very versatile and can be used fresh, cooked or as a garnish. Onions are an essential part of everyday cooking in India and are found in many local dishes and are the base for curries. They are a good source of manganese, copper, Vitamin B6, Vitamin C and dietary fibers.",https://www.freshpoint.com/wp-content/uploads/commodity-red-onion.jpg,Vegetable - Alliums,8
Cauliflower (200g),"Cauliflower is made up of tightly bound clusters of soft, crumbly, sweet cauliflower florets that form a dense head. Resembling a classic tree, the florets are attached to a central edible white trunk which is firm and tender.Hand plucked, Fresh and tender, tightly bound clusters of soft, crumbly, sweet cauliflower florets that form a dense head. Cauliflower is low in fat. It is high in Vitamin C and also contains moderate levels of Vitamin K. It can be cooked with potatoes or used in soups, manchurian, salad and parathas.",https://solidstarts.com/wp-content/uploads/cauliflower_edited-scaled.jpg,Cauliflower is a cruciferous vegetable that is a significant source of nutrients.,8
Bhendi (200g),"Bhendi is also known as Ladies finger. Ladies finger are green finger-like vegetables and are highly healthful. It is an essential vegetable used in Indian cuisine for mouth-watering recipes. It tastes mild and slightly grassy. It is also identified for being high in antioxidants and an excellent source of potassium, calcium and prebiotic fiber. It is used in curries, sambhar, can be stuffed or fried or mixed with potatoes.",https://zenxin.com.my/wp-content/uploads/2020/10/Ladies-Finger-2.jpg,"Vegetable. A green colored oblong shaped vegetable, tapering at the end with tiny seeds inside.",8
